api_fullname;api_lib_id;lib_name;query;query_rank;didactic;loc;tokens;tokens_density;comments;comments_ratio;readability;reusability;api_count;api_ratio;cosine_sim;soft_cosine_sim
com.google.common.collect.Ints.tryParse;10;GoogleGuava;Ints tryParse;9;0;3;11;3.67;0;0.0;0.80;1.0;2;0.18;0.39;0.38
com.google.common.collect.Lists.asList;1;GoogleGuava;Lists asList;9;1;3;14;4.67;0;0.0;0.60;1.0;1;0.07;0.18;0.29
com.google.common.collect.Lists.asList;2;GoogleGuava;Lists asList;1;1;21;87;4.14;5;0.24;0.82;1.0;6;0.07;0.24;0.43
com.google.common.collect.Lists.asList;3;GoogleGuava;Lists asList;7;1;4;15;3.75;0;0.0;0.90;1.0;3;0.2;0.49;0.48
com.google.common.collect.Lists.asList;4;GoogleGuava;Lists asList;5;1;5;27;5.4;0;0.0;0.38;1.0;6;0.22;0.44;0.6
com.google.common.collect.Lists.asList;5;GoogleGuava;Lists asList;8;1;5;16;3.2;0;0.0;0.68;1.0;2;0.12;0.3;0.36
com.google.common.collect.Lists.asList;6;GoogleGuava;Lists asList;3;0;24;98;4.08;1;0.04;0.41;0.55;2;0.02;0.08;0.1
com.google.common.collect.Lists.asList;7;GoogleGuava;Lists asList;2;0;11;53;4.82;0;0.0;0.21;0.71;4;0.08;0.25;0.29
com.google.common.collect.Lists.asList;8;GoogleGuava;Lists asList;10;0;4;13;3.25;0;0.0;0.55;0.5;2;0.15;0.31;0.32
com.google.common.collect.Lists.asList;9;GoogleGuava;Lists asList;6;0;3;11;3.67;0;0.0;0.54;1.0;3;0.27;0.51;0.61
com.google.common.collect.Lists.asList;10;GoogleGuava;Lists asList;4;0;20;63;3.15;0;0.0;0.22;0.86;2;0.03;0.12;0.16
com.google.common.collect.Lists.charactersOf;1;GoogleGuava;Lists charactersOf;4;1;5;15;3.0;0;0.0;0.63;1.0;2;0.13;0.31;0.46
com.google.common.collect.Lists.charactersOf;2;GoogleGuava;Lists charactersOf;2;1;10;28;2.8;1;0.1;0.84;1.0;3;0.11;0.3;0.42
com.google.common.collect.Lists.charactersOf;3;GoogleGuava;Lists charactersOf;1;1;18;50;2.78;6;0.33;0.73;1.0;6;0.12;0.44;0.45
com.google.common.collect.Lists.charactersOf;4;GoogleGuava;Lists charactersOf;9;1;4;17;4.25;2;0.5;0.63;1.0;3;0.18;0.41;0.4
com.google.common.collect.Lists.charactersOf;5;GoogleGuava;Lists charactersOf;5;1;6;21;3.5;0;0.0;0.63;1.0;2;0.1;0.28;0.37
com.google.common.collect.Lists.charactersOf;6;GoogleGuava;Lists charactersOf;6;0;6;24;4.0;0;0.0;0.56;1.0;2;0.08;0.22;0.28
com.google.common.collect.Lists.charactersOf;7;GoogleGuava;Lists charactersOf;10;0;5;13;2.6;0;0.0;0.42;0.67;1;0.08;0.18;0.2
com.google.common.collect.Lists.charactersOf;8;GoogleGuava;Lists charactersOf;3;0;9;28;3.11;0;0.0;0.50;1.0;2;0.07;0.17;0.24
com.google.common.collect.Lists.charactersOf;9;GoogleGuava;Lists charactersOf;8;0;4;20;5.0;1;0.25;0.27;1.0;1;0.05;0.12;0.16
com.google.common.collect.Lists.charactersOf;10;GoogleGuava;Lists charactersOf;7;0;9;21;2.33;0;0.0;0.42;0.5;2;0.1;0.24;0.28
com.google.common.collect.Lists.newArrayList;1;GoogleGuava;Lists newArrayList;4;1;5;23;4.6;0;0.0;0.59;1.0;3;0.13;0.34;0.56
com.google.common.collect.Lists.newArrayList;2;GoogleGuava;Lists newArrayList;1;1;23;101;4.39;6;0.26;0.49;1.0;10;0.1;0.38;0.47
com.google.common.collect.Lists.newArrayList;3;GoogleGuava;Lists newArrayList;5;1;30;113;3.77;7;0.23;0.21;1.0;2;0.02;0.06;0.21
com.google.common.collect.Lists.newArrayList;4;GoogleGuava;Lists newArrayList;2;1;20;55;2.75;4;0.2;0.80;1.0;2;0.04;0.13;0.43
com.google.common.collect.Lists.newArrayList;5;GoogleGuava;Lists newArrayList;6;1;13;42;3.23;0;0.0;0.64;1.0;2;0.05;0.18;0.29
com.google.common.collect.Lists.newArrayList;6;GoogleGuava;Lists newArrayList;8;0;18;61;3.39;0;0.0;0.21;0.43;2;0.03;0.12;0.16
com.google.common.collect.Lists.newArrayList;7;GoogleGuava;Lists newArrayList;7;0;13;50;3.85;0;0.0;0.61;0.56;2;0.04;0.16;0.22
com.google.common.collect.Lists.newArrayList;8;GoogleGuava;Lists newArrayList;3;0;19;76;4.0;0;0.0;0.11;0.36;2;0.03;0.09;0.22
com.google.common.collect.Lists.newArrayList;9;GoogleGuava;Lists newArrayList;9;0;20;60;3.0;0;0.0;0.15;0.43;2;0.03;0.1;0.33
com.google.common.collect.Lists.newArrayList;10;GoogleGuava;Lists newArrayList;10;0;14;50;3.57;2;0.14;0.81;1.0;2;0.04;0.13;0.17
com.google.common.collect.Lists.partition;1;GoogleGuava;Lists partition;4;1;11;37;3.36;1;0.09;0.46;1.0;6;0.16;0.5;0.64
com.google.common.collect.Lists.partition;2;GoogleGuava;Lists partition;1;1;18;67;3.72;7;0.39;0.89;1.0;6;0.09;0.32;0.54
com.google.common.collect.Lists.partition;3;GoogleGuava;Lists partition;3;1;8;34;4.25;0;0.0;0.18;1.0;4;0.12;0.29;0.5
com.google.common.collect.Lists.partition;4;GoogleGuava;Lists partition;2;1;11;35;3.18;3;0.27;0.30;1.0;4;0.11;0.29;0.5
com.google.common.collect.Lists.partition;5;GoogleGuava;Lists partition;9;1;4;14;3.5;1;0.25;0.51;0.67;4;0.29;0.55;0.67
com.google.common.collect.Lists.partition;6;GoogleGuava;Lists partition;10;0;19;95;5.0;2;0.11;0.07;0.75;2;0.02;0.08;0.22
com.google.common.collect.Lists.partition;7;GoogleGuava;Lists partition;5;0;17;54;3.18;2;0.12;0.35;0.75;3;0.06;0.2;0.38
com.google.common.collect.Lists.partition;8;GoogleGuava;Lists partition;7;0;19;95;5.0;2;0.11;0.07;0.75;2;0.02;0.08;0.22
com.google.common.collect.Lists.partition;9;GoogleGuava;Lists partition;6;0;21;95;4.52;0;0.0;0.10;0.55;2;0.02;0.08;0.26
com.google.common.collect.Lists.partition;10;GoogleGuava;Lists partition;8;0;12;56;4.67;0;0.0;0.26;0.71;2;0.04;0.11;0.35
com.google.common.collect.Lists.reverse;1;GoogleGuava;Lists reverse;1;1;16;63;3.94;7;0.44;0.82;1.0;6;0.1;0.35;0.58
